round,train_loss,eval_loss,accuracy,precision,recall,macro_f1,round_time,trainable_params,total_params,communication_cost_MB,client_avg_loss,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best,client_0_loss,client_0_time,client_0_samples,client_1_loss,client_1_time,client_1_samples,client_2_loss,client_2_time,client_2_samples,client_3_loss,client_3_time,client_3_samples,client_4_loss,client_4_time,client_4_samples
1,0.3018575605680203,0.30685129733094785,0.8822,0.8886882327413883,0.8822,0.8817063416366645,470.9194428920746,109483778,109483778,417.64746856689453,0.3265327820324209,bert-base-uncased,imdb,F-BERT-base-FT,5,1,dirichlet,0.8817063416366645,0,1,0.18376569482708308,102.78372478485107,6904,0.3409213143236497,64.10190987586975,4345,0.42227427750688545,25.34434223175049,1734,0.3688161021500005,72.34938764572144,4933,0.31688652135448586,103.80929017066956,7084
2,0.22114211189170896,0.267943892658939,0.90176,0.9045065020674776,0.90176,0.9015929599539443,468.171186208725,109483778,109483778,417.64746856689453,0.23508877364900788,bert-base-uncased,imdb,F-BERT-base-FT,5,1,dirichlet,0.9015929599539443,0,1,0.13238790745254464,101.29370355606079,6904,0.2571061437620836,63.78609037399292,4345,0.27968730279652204,25.45173978805542,1734,0.26681587368104986,72.43341422080994,4933,0.23944664055283937,103.98262786865234,7084
3,0.1932693731162322,0.2664245392219119,0.90836,0.9098791656466461,0.9083600000000001,0.908275008209647,469.0597732067108,109483778,109483778,417.64746856689453,0.2065000209283116,bert-base-uncased,imdb,F-BERT-base-FT,5,1,dirichlet,0.908275008209647,0,1,0.1153977471182548,102.8323814868927,6904,0.22387785420698278,63.70282959938049,4345,0.24704109724988724,25.42650604248047,1734,0.24493421940208449,72.32217741012573,4933,0.2012491866643488,103.8283281326294,7084
4,0.17587244097588925,0.2664263610723914,0.9126,0.9138138424614497,0.9126,0.9125358602372586,475.08664894104004,109483778,109483778,417.64746856689453,0.18993632004169198,bert-base-uncased,imdb,F-BERT-base-FT,5,1,dirichlet,0.9125358602372586,0,1,0.10089934680304412,103.33073401451111,6904,0.21151568346163807,64.28995060920715,4345,0.2365276612135397,25.93227195739746,1734,0.2174835446588031,73.26806235313416,4933,0.18325536407143483,105.29217910766602,7084
5,0.16232713916836347,0.274240553188385,0.91348,0.9149145421345577,0.9134800000000001,0.9134051508762113,480.58618569374084,109483778,109483778,417.64746856689453,0.17554961792573442,bert-base-uncased,imdb,F-BERT-base-FT,5,1,dirichlet,0.9134051508762113,0,1,0.09085967729293319,103.34217977523804,6904,0.2059625157100313,65.47964525222778,4345,0.2132386595422771,25.943766355514526,1734,0.2038475531040173,74.74199914932251,4933,0.16383968397941331,107.17495822906494,7084
6,0.1468434250789024,0.3013230171328695,0.91636,0.9170139445873441,0.9163600000000001,0.9163271969142783,485.4120771884918,109483778,109483778,417.64746856689453,0.1613109487597014,bert-base-uncased,imdb,F-BERT-base-FT,5,1,dirichlet,0.9163271969142783,0,1,0.07916855808619414,104.63590621948242,6904,0.18171319496982238,66.24863719940186,4345,0.20910053222959493,26.988300323486328,1734,0.19149118976749033,74.26192355155945,4933,0.14508126874540514,107.78038787841797,7084
7,0.13741622072005188,0.33189067755535634,0.91664,0.9170887207293095,0.91664,0.9166175734625586,487.11726236343384,109483778,109483778,417.64746856689453,0.15448032315848376,bert-base-uncased,imdb,F-BERT-base-FT,5,1,dirichlet,0.9166175734625586,0,1,0.07005985407536441,104.2531156539917,6904,0.17726684252128883,66.81902885437012,4345,0.2164476840726791,26.534049034118652,1734,0.1767307127308179,75.32185411453247,4933,0.13189652239226865,107.66612219810486,7084
8,0.12331805876749044,0.35549819389368886,0.91388,0.9151412882399652,0.91388,0.9138145375217069,490.2350013256073,109483778,109483778,417.64746856689453,0.14329603729068152,bert-base-uncased,imdb,F-BERT-base-FT,5,1,dirichlet,0.9166175734625586,1,0,0.05912621637001236,105.50555658340454,6904,0.16214193918687456,66.54848146438599,4345,0.22211867873020436,27.166428804397583,1734,0.162487099052828,75.85082483291626,4933,0.11060625311348832,108.22790956497192,7084
9,0.11177189298060386,0.3803999206326516,0.9134,0.9145243252708743,0.9134,0.9133412382882045,491.803640127182,109483778,109483778,417.64746856689453,0.1322943772440871,bert-base-uncased,imdb,F-BERT-base-FT,5,1,dirichlet,0.9166175734625586,2,0,0.0486930750508988,105.16805863380432,6904,0.16464777723612153,67.11705279350281,4345,0.2071342868837721,26.626397132873535,1734,0.15047236972728464,76.12026309967041,4933,0.09052437732235842,109.32580494880676,7084
10,0.10173919633905237,0.3859801697696697,0.91196,0.9133047123411723,0.91196,0.9118883308141563,490.84028816223145,109483778,109483778,417.64746856689453,0.1225117277292338,bert-base-uncased,imdb,F-BERT-base-FT,5,1,dirichlet,0.9166175734625586,3,0,0.04360705118535706,106.7495801448822,6904,0.14251785613048604,66.09722638130188,4345,0.20446826821871206,26.591315746307373,1734,0.14122481430417327,75.92394471168518,4933,0.0807406488074406,109.4564106464386,7084
