round,client_id,client_loss,client_time,num_samples,global_accuracy,global_precision_macro,global_recall_macro,global_macro_f1,global_weighted_f1,global_micro_f1,global_auc,global_eval_loss
1,3,0.2557415092943125,41.44520616531372,16651,0.9086842105263158,0.9096739636278526,0.9086842105263158,0.9088039080205584,0.9088039080205584,0.9086842105263158,0.0,0.2724410241641918
2,3,0.1888440610436926,41.72738075256348,16651,0.9236842105263158,0.92466886558094,0.9236842105263158,0.9237152504139836,0.9237152504139836,0.9236842105263158,0.0,0.2177121805167999
3,3,0.1736336408000647,41.44399046897888,16651,0.9286842105263158,0.9293397998740688,0.9286842105263158,0.9287584457204384,0.9287584457204384,0.9286842105263158,0.0,0.2027682812274003
4,3,0.1687296135297434,40.91581678390503,16651,0.9322368421052633,0.9331041142163288,0.9322368421052633,0.932302784425365,0.932302784425365,0.9322368421052633,0.0,0.1953669828401894
5,3,0.1623487193101656,40.872082471847534,16651,0.9365789473684212,0.9373852269762812,0.9365789473684212,0.9366854053319802,0.9366854053319802,0.9365789473684212,0.0,0.1910598275541257
6,3,0.157541004293768,41.32705473899841,16651,0.9365789473684212,0.9372420128677096,0.9365789473684212,0.9367103398742008,0.9367103398742008,0.9365789473684212,0.0,0.187902032546386
7,3,0.1534113984790965,40.660752058029175,16651,0.9385526315789474,0.9392259939902337,0.9385526315789474,0.9386375191531928,0.9386375191531926,0.9385526315789474,0.0,0.1852226865579601
8,3,0.1491242207071945,40.54889893531799,16651,0.9386842105263158,0.9396251059429016,0.9386842105263156,0.9388194892905452,0.9388194892905452,0.9386842105263158,0.0,0.1834884741100944
9,3,0.146059804851629,40.98976802825928,16651,0.9414473684210526,0.9422761068728948,0.9414473684210526,0.9415374518400424,0.9415374518400426,0.9414473684210526,0.0,0.1828685349025646
10,3,0.1434827818823066,40.802154541015625,16651,0.9403947368421052,0.9412724101876416,0.9403947368421052,0.9405115739845598,0.9405115739845596,0.9403947368421052,0.0,0.1854030436077037
11,3,0.1412761837830355,41.38950157165527,16651,0.9401315789473684,0.9409783825030896,0.9401315789473684,0.9402553359149636,0.9402553359149636,0.9401315789473684,0.0,0.1870943017992652
12,3,0.13924883008575256,41.478524923324585,16651,0.9397368421052632,0.9407175093229823,0.9397368421052632,0.9398524110908011,0.9398524110908012,0.9397368421052632,0.0,0.19071270851027064
