round,train_loss,eval_loss,accuracy,precision,recall,macro_f1,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best
1,0.23508767096400365,0.575478749593099,0.8609166666666667,0.8715476288241372,0.8589627245088921,0.858233737121694,377.7487676143646,364.4936261177063,547.4662780761719,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,F-TinyBERT-FFT,5,1,noniid,0.858233737121694,0,True
2,0.12235189628048462,0.33116914876302084,0.89475,0.8959810592711777,0.89376184578233,0.8938070869948311,360.0075714588165,346.5478460788727,547.4662780761719,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,F-TinyBERT-FFT,5,1,noniid,0.8938070869948311,0,True
3,0.10098959450412522,0.323124750773112,0.9020833333333333,0.9028632991657055,0.9011939861948778,0.9012127737419067,355.72677636146545,343.62269473075867,547.4662780761719,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,F-TinyBERT-FFT,5,1,noniid,0.9012127737419067,0,True
4,0.09331988434239571,0.3105160722732544,0.9084166666666667,0.9096299926296909,0.9074261216013755,0.9075566617088676,356.9201354980469,343.72364687919617,547.4662780761719,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,F-TinyBERT-FFT,5,1,noniid,0.9075566617088676,0,True
5,0.08869630265220993,0.2988334152698517,0.9135833333333333,0.914256581051777,0.9128043143553953,0.9129384458867664,359.1920425891876,346.4124102592468,547.4662780761719,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,F-TinyBERT-FFT,5,1,noniid,0.9129384458867664,0,True
6,0.0853260546435056,0.29695669945081077,0.91525,0.9163479966839618,0.9143967416461555,0.9145496082948259,354.31069588661194,341.56388545036316,547.4662780761719,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,F-TinyBERT-FFT,5,1,noniid,0.9145496082948259,0,True
7,0.08160877694212725,0.2891443695227305,0.9191666666666667,0.9199750724537077,0.9183514450334501,0.9185364089434206,357.9384834766388,344.61162209510803,547.4662780761719,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,F-TinyBERT-FFT,5,1,noniid,0.9185364089434206,0,True
8,0.07883920918942129,0.28660210518042245,0.9206666666666666,0.9217365407722945,0.9199053081186711,0.9201144446530927,359.4761724472046,346.7553770542145,547.4662780761719,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,F-TinyBERT-FFT,5,1,noniid,0.9201144446530927,0,True
9,0.07727868745576028,0.2844876588980357,0.9233333333333333,0.9240492702269667,0.922628036743958,0.9228106432783385,363.8234508037567,351.1812014579773,547.4662780761719,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,F-TinyBERT-FFT,5,1,noniid,0.9228106432783385,0,True
10,0.07544191878487252,0.28503974799315135,0.9246666666666666,0.9257996924335506,0.9239038064458771,0.9241280663521049,369.46406269073486,356.3492169380188,547.4662780761719,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,F-TinyBERT-FFT,5,1,noniid,0.9241280663521049,0,True
