round,train_loss,eval_loss,accuracy,precision,recall,macro_f1,round_time,client_train_time,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best
1,0.1352528142611083,0.5044960311696499,0.8096,0.8099213783606347,0.8096881118191867,0.8095761132276433,141.7000434398651,133.44694566726685,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,imdb,F-TinyBERT-FFT,5,1,noniid,0.8095761132276433,0,True
2,0.10130756193672188,0.3892719172224214,0.8384,0.8389400663259584,0.8385114157179969,0.8383626553078823,142.6642987728119,134.91273880004883,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,imdb,F-TinyBERT-FFT,5,1,noniid,0.8383626553078823,0,True
3,0.08804876920206645,0.3612026987196524,0.8464,0.8465021690411858,0.8464489446389039,0.8463975423606778,146.0971338748932,137.5769031047821,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,imdb,F-TinyBERT-FFT,5,1,noniid,0.8463975423606778,0,True
4,0.08205467982674093,0.3637473613401003,0.8512,0.8534543523391107,0.8514238206510156,0.8510154021238476,146.57003951072693,138.71844053268433,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,imdb,F-TinyBERT-FFT,5,1,noniid,0.8510154021238476,0,True
5,0.07867014037290826,0.3527299844765965,0.8572,0.8585508657202521,0.8573724872011986,0.8571034018996841,147.99514770507812,139.64362287521362,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,imdb,F-TinyBERT-FFT,5,1,noniid,0.8571034018996841,0,True
6,0.0743259695298225,0.3417669338516042,0.8608,0.8611615506557141,0.8608897175015409,0.8607825365613863,150.56417226791382,142.2933702468872,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,imdb,F-TinyBERT-FFT,5,1,noniid,0.8607825365613863,0,True
7,0.07093310311167571,0.33694786663296855,0.864,0.8645276874842613,0.8641077384186768,0.863971793191036,151.7992992401123,143.5751085281372,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,imdb,F-TinyBERT-FFT,5,1,noniid,0.863971793191036,0,True
8,0.0711372325304918,0.33077766020086746,0.8664,0.8665058689255165,0.8664495718585735,0.8663978623657979,152.2980432510376,144.26486587524414,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,imdb,F-TinyBERT-FFT,5,1,noniid,0.8663978623657979,0,True
9,0.0688354464469205,0.3390551186815093,0.8676,0.8682505274978272,0.8677190516694604,0.8675643801156759,151.27722787857056,142.59844875335693,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,imdb,F-TinyBERT-FFT,5,1,noniid,0.8675643801156759,0,True
10,0.06679648939168537,0.3386068223397943,0.8704,0.870807766933076,0.8704944987074794,0.8703813349122274,154.4761815071106,145.97064566612244,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,imdb,F-TinyBERT-FFT,5,1,noniid,0.8703813349122274,0,True
