round,train_loss,eval_loss,accuracy,precision,recall,macro_f1,round_time,client_train_time,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best
1,0.232857622451828,0.6174898488180978,0.7396788990825688,0.8089264615448396,0.7352761640144818,0.7218102068321943,137.49942088127136,130.2930281162262,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,sst2,F-TinyBERT-FFT,5,1,noniid,0.7218102068321943,0,True
2,0.1456007843060398,0.5334827176162175,0.8188073394495413,0.8404664855072463,0.8164730150711459,0.8150677576616627,130.427649974823,123.58885908126831,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,sst2,F-TinyBERT-FFT,5,1,noniid,0.8150677576616627,0,True
3,0.13267265057693212,0.4756409355572292,0.8405963302752294,0.8584326441469299,0.838542982234571,0.8379708660901555,131.16566061973572,124.52641105651855,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,sst2,F-TinyBERT-FFT,5,1,noniid,0.8379708660901555,0,True
4,0.12894233670183736,0.5352655106357166,0.8337155963302753,0.8569586240908807,0.8313652437484214,0.830226959325097,131.83563661575317,124.60225987434387,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,sst2,F-TinyBERT-FFT,5,1,noniid,0.8379708660901555,1,False
5,0.12038687135616526,0.522858267383916,0.8302752293577982,0.8528079710144927,0.8279447671971036,0.8267723299615575,131.11434316635132,124.03582262992859,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,sst2,F-TinyBERT-FFT,5,1,noniid,0.8379708660901555,2,False
6,0.11840294153200062,0.5111037237303597,0.8509174311926605,0.8659494648571113,0.8490570009261598,0.8488493026480706,133.22477388381958,126.510733127594,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,sst2,F-TinyBERT-FFT,5,1,noniid,0.8488493026480706,0,True
7,0.11705854348804978,0.5127308906189033,0.8486238532110092,0.8650023269729407,0.8466784541550897,0.8463534575277516,135.65649318695068,128.37761425971985,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,sst2,F-TinyBERT-FFT,5,1,noniid,0.8488493026480706,1,False
8,0.11098257696538767,0.48376686392085894,0.8635321100917431,0.8724366364123464,0.8621179590805759,0.8623443434334055,138.93559455871582,132.1028778553009,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,sst2,F-TinyBERT-FFT,5,1,noniid,0.8623443434334055,0,True
9,0.10560851166052557,0.5375082197466067,0.8577981651376146,0.8703995621237001,0.8561084448934916,0.8561262886735113,136.9825565814972,130.0430624485016,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,sst2,F-TinyBERT-FFT,5,1,noniid,0.8623443434334055,1,False
10,0.10712566514192119,0.5091487810547862,0.8761467889908257,0.8840579710144928,0.8748421318514776,0.8751987787036448,133.96361136436462,127.15501737594604,14350874,14350874,huawei-noah/TinyBERT_General_4L_312D,sst2,F-TinyBERT-FFT,5,1,noniid,0.8751987787036448,0,True
